word,var,expect
treat,0.013600896509995434,3.5689397388803514
beautiful,0.013469072708390805,3.708679418176574
absolutely,0.013455218289801745,3.423203389251874
lady,0.01339416463457611,2.3845335149818765
generous,0.013379429703188974,3.6894734451693756
ever,0.01334997373695452,3.141893703468338
unfortunately,0.013328040027000743,2.435844917217715
notservice,0.013180951634024475,2.3221881870846373
truly,0.013180127019065525,3.5224630351317425
las,0.013137898589293082,3.5731885706474915
40,0.013128080953440594,2.347383336482605
variety,0.013070348950230211,3.6787062422742256
notgive,0.012974441733726574,2.3024935790464913
understand,0.012880453561364191,2.294672584213926
customers,0.012868869478573493,2.3799606385523346
card,0.012815171677811025,2.319216531288665
finally,0.012650170782255013,2.3519333531701463
notwill,0.012534569007962336,2.361146822534737
traditional,0.012448170354813456,3.666846285554139
